Player,Pos,GP,G,A,PTS, +/-,PIM,PP,PPA,SH,SHA,GW,FG,IG,OT,UA,EN,SOG,SOA,SOGW,SO%,Pt/G,PIM/G,Shots,Sh%
Dominic Cormier,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Mathew Santos,RW,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Josh Brook,D,6,0,0,0,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,5,0
Cal O'Reilly,C,75,21,32,53,-12,20,7,9,3,0,3,6,2,1,1,1,0,2,0,0,0.71,0.27,139,15.1
Adam Clendening,D,74,5,37,42,-15,78,0,18,0,0,3,1,0,1,1,1,2,6,1,33.3,0.57,1.05,144,3.5
Garrett Wilson,LW,70,17,16,33,-10,115,4,3,0,0,1,2,1,0,0,2,0,0,0,0,0.47,1.64,140,12.1
Hayden Hodgson,RW,46,19,12,31,6,70,3,2,0,0,1,2,2,0,2,1,0,1,0,0,0.67,1.52,89,21.3
Yegor Zamula,D,58,4,25,29,2,16,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.28,97,4.1
Isaac Ratcliffe,LW,59,11,17,28,-5,61,3,3,0,0,1,2,0,0,1,0,0,0,0,0,0.47,1.03,104,10.6
Linus Sandin,RW,36,8,12,20,-3,16,2,3,0,1,3,2,1,0,1,0,0,0,0,0,0.56,0.44,53,15.1
Max Willman,LW,34,11,8,19,0,33,2,0,2,1,1,3,1,0,1,1,0,1,0,0,0.56,0.97,105,10.5
Morgan Frost,C,24,6,13,19,-9,8,1,4,0,2,1,1,0,0,0,0,0,1,0,0,0.79,0.33,45,13.3
Logan Day,D,72,6,13,19,1,26,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0.26,0.36,121,5
Adam Johnson,LW,58,5,13,18,-9,30,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.31,0.52,103,4.9
Wyatte Wylie,D,65,5,13,18,-7,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.28,0.37,81,6.2
Wade Allison,F,28,10,7,17,-4,4,3,3,0,0,3,2,1,0,0,1,1,2,1,50,0.61,0.14,85,11.8
Maxim Sushko,RW,63,10,7,17,-5,31,0,0,0,0,2,3,3,0,2,2,0,0,0,0,0.27,0.49,49,20.4
Tanner Laczynski,F,28,7,10,17,-2,8,1,5,0,0,0,0,2,0,3,0,0,2,0,0,0.61,0.29,82,8.5
Gerry Mayhew,C,24,9,7,16,-7,20,4,1,0,0,1,3,0,0,0,1,1,3,0,33.3,0.67,0.83,55,16.4
Matthew Strome,LW,63,5,11,16,-2,26,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0.25,0.41,71,7
Charlie Gerard,RW,55,6,6,12,-13,20,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0.22,0.36,80,7.5
Cam York,D,34,2,10,12,-8,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.35,36,5.6
Connor Bunnaman,C,41,6,5,11,-6,10,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0.27,0.24,76,7.9
Brennan Menell,D,38,1,10,11,-6,34,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0.29,0.89,47,2.1
Cooper Zech,D,53,1,10,11,3,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.21,0.23,74,1.4
Jackson Cates,C,37,2,8,10,-11,2,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0.27,0.05,47,4.3
Nick Lappin,RW,38,5,3,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.34,37,13.5
Linus Hogberg,D,58,0,8,8,-4,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.14,0.24,49,0
Alex Kile,LW,27,4,3,7,-10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.26,0,29,13.8
Brennan Saulnier,F,43,3,3,6,-8,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14,2.05,36,8.3
German Rubtsov,C,37,2,4,6,-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.16,0,28,7.1
Tyson Foerster,RW,9,2,1,3,-7,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0.33,0.44,23,8.7
Ryan MacKinnon,D,25,2,1,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.4,16,12.5
Brad Morrison,C,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mason Millman,D,12,0,1,1,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.67,7,0
Colin Felix,D,1,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Nick Master,F,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Riedell,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Samu Tuomaala,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ryan Fitzgerald,LW,4,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0
Garrett McFadden,D,4,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0
Adam Karashik,D,8,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,8,0
Michael Eyssimont,LW,58,18,24,42,15,90,3,8,0,0,2,0,4,0,2,0,3,6,2,50,0.72,1.55,205,8.8
Jeff Malott,LW,62,23,18,41,11,55,10,7,0,0,8,4,3,2,1,0,2,3,1,66.7,0.66,0.89,166,13.9
Cole Maier,C,68,16,21,37,11,57,2,1,1,1,2,1,1,0,3,1,1,2,0,50,0.54,0.84,159,10.1
Leon Gawanke,D,65,10,26,36,-1,19,4,9,0,0,1,2,0,1,0,0,1,1,1,100,0.55,0.29,141,7.1
Nick Jones,C,60,12,22,34,11,36,1,3,1,1,1,3,1,0,3,1,0,1,0,0,0.57,0.6,111,10.8
David Gustafsson,C,47,15,15,30,4,10,6,4,1,1,3,1,1,0,1,1,2,5,1,40,0.64,0.21,102,14.7
Johnny Kovacevic,D,62,11,19,30,23,45,0,2,0,0,1,1,1,0,1,0,0,1,0,0,0.48,0.73,135,8.1
Austin Poganski,RW,49,9,21,30,1,20,2,6,0,0,1,1,3,0,2,2,0,1,0,0,0.61,0.41,82,11
Declan Chisholm,D,53,9,21,30,1,20,2,7,0,0,1,4,0,0,0,0,0,1,0,0,0.57,0.38,76,11.8
C.J. Suess,C,46,14,14,28,5,16,2,5,1,0,3,1,1,0,1,0,0,1,0,0,0.61,0.35,103,13.6
Greg Meireles,RW,49,5,22,27,-2,19,3,6,0,0,1,1,1,0,0,0,1,1,0,100,0.55,0.39,72,6.9
Ville Heinola,D,41,5,21,26,7,18,5,9,0,0,0,0,1,0,0,0,0,1,0,0,0.63,0.44,113,4.4
Evan Polei,LW,62,12,11,23,8,97,0,0,0,0,2,4,1,1,0,1,0,0,0,0,0.37,1.56,95,12.6
Bobby Lynch,RW,46,8,13,21,-8,10,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0.46,0.22,70,11.4
Morgan Barron,C,30,10,7,17,-7,10,5,3,2,0,2,0,1,0,3,1,0,2,0,0,0.57,0.33,72,13.9
Jimmy Oligny,D,67,4,13,17,-1,91,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.25,1.36,93,4.3
Cole Perfetti,C,17,6,9,15,6,2,2,4,0,0,0,3,0,0,0,0,0,1,0,0,0.88,0.12,48,12.5
Haralds Egle,RW,30,5,9,14,10,4,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0.47,0.13,38,13.2
Simon Lundmark,D,57,4,10,14,-4,14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.25,0.25,79,5.1
Todd Burgess,RW,35,7,6,13,-1,9,1,4,0,0,1,1,1,0,0,0,1,1,0,100,0.37,0.26,56,12.5
Kristian Reichel,RW,30,5,8,13,0,12,1,4,2,0,2,0,1,0,1,1,1,1,0,100,0.43,0.4,67,7.5
Dylan Samberg,D,32,0,12,12,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.81,38,0
Luke Johnson,C,23,3,7,10,-7,33,0,5,0,0,1,1,0,0,0,0,1,1,1,100,0.43,1.43,62,4.8
Dean Stewart,D,20,1,8,9,-3,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.2,30,3.3
Nick Hutchison,C,32,3,4,7,-9,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.22,0.84,23,13
Markus Phillips,D,45,1,6,7,10,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.16,0.58,45,2.2
Kristian Vesalainen,LW,17,3,3,6,-3,6,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0.35,0.35,21,14.3
Nelson Nogier,D,25,3,3,6,-4,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.24,0.32,43,7
Thomas Caron,LW,40,3,3,6,-4,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15,1.03,45,6.7
Matt Alfaro,C,20,3,1,4,-6,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,15,20
Isaac Johnson,RW,11,1,3,4,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,13,7.7
Daniel Torgersson,LW,4,2,1,3,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75,1,6,33.3
Tristan Langan,C,13,1,2,3,-2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.23,0.15,11,9.1
Ty Pelton-Byce,C,14,1,1,2,-5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.14,0.43,9,11.1
Dominic Toninato,C,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,0
