Player,Pos,GP,G,A,PTS, +/-,PIM,PP,PPA,SH,SHA,GW,FG,IG,OT,UA,EN,SOG,SOA,SOGW,SO%,Pt/G,PIM/G,Shots,Sh%
Gabriel Vilardi,C,39,15,23,38,4,18,8,8,0,0,4,3,1,0,1,0,2,3,1,66.7,0.97,0.46,78,19.2
Tyler Madden,F,48,14,17,31,4,12,3,4,0,1,0,3,3,0,1,1,0,4,0,0,0.65,0.25,89,15.7
Vladimir Tkachyov ,F,41,7,22,29,6,26,1,8,0,0,0,1,2,0,0,0,0,0,0,0,0.71,0.63,51,13.7
Cameron Gaunce,D,61,7,20,27,12,63,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0.44,1.03,90,7.8
Helge Grans,D,56,7,17,24,7,8,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0.43,0.14,86,8.1
Aidan Dudas,F,61,10,13,23,6,16,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0.38,0.26,98,10.2
Austin Wagner,LW,55,13,9,22,3,107,0,0,1,2,1,1,2,0,1,1,0,0,0,0,0.4,1.95,82,15.9
Brett Sutter,C,65,8,11,19,3,38,0,0,1,1,2,0,1,0,2,1,0,0,0,0,0.29,0.58,75,10.7
Alex Turcotte,C,27,6,12,18,16,20,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0.67,0.74,36,16.7
Thomas Hickey,D,44,6,12,18,15,18,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.41,0.41,48,12.5
Christian Wolanin,D,37,1,17,18,-2,22,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0.49,0.59,48,2.1
Brayden Burke,LW,31,6,11,17,5,18,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0.55,0.58,29,20.7
Sean Durzi,D,13,5,11,16,13,20,3,3,1,0,2,1,0,0,0,0,0,0,0,0,1.23,1.54,22,22.7
Frederic Allard,D,51,4,11,15,5,22,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.43,83,4.8
Akil Thomas,F,40,8,5,13,-7,13,6,1,0,1,0,1,1,0,0,0,0,2,0,0,0.33,0.33,69,11.6
Nelson Nogier,D,38,4,6,10,-11,16,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0.26,0.42,63,6.3
Taylor Ward,F,16,3,7,10,3,9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.63,0.56,24,12.5
Jacob Moverare,D,30,3,7,10,6,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.33,0.27,33,9.1
Rasmus Kupari,C,15,5,3,8,2,12,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.53,0.8,27,18.5
Christian Kasastul,D,25,1,7,8,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.48,21,4.8
Austin Strand,D,32,3,4,7,-1,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.22,0.94,51,5.9
Lias Andersson,C,4,6,0,6,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0.5,16,37.5
Quinton Byfield,C,11,4,2,6,0,10,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.55,0.91,31,12.9
Adam Johnson,LW,28,1,5,6,-6,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.21,0.64,42,2.4
Markus Phillips,D,38,1,4,5,7,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.13,0.47,38,2.6
Kale Clague,D,5,0,4,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,11,0
Johan Sodergran,LW,7,3,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.43,0,7,42.9
Nikita Pavlychev,F,13,2,1,3,4,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.23,0.77,20,10
Jacob Doty,RW,41,1,2,3,-9,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,2.17,19,5.3
Blake Siebenaler,D,4,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,100
Marcus McIvor,D,6,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,6,0
Kim Nousiainen,D,8,0,2,2,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,8,0
Andre Lee,LW,11,0,2,2,-3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.91,11,0
Samuel Helenius,C,12,1,0,1,-3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.5,9,11.1
Bobby Russell,D,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Keegan Iverson,C,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,0
Brett Kemp,F,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0
Nick Pastujov,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loren Ulett,F,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
Tyler Inamoto,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Alex Ierullo,F,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,2,0
Kevin Lohan,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Michael Prapavessis,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cameron Hughes,LW,59,14,31,45,-7,39,1,18,4,0,0,4,1,0,0,0,2,3,0,66.7,0.76,0.66,156,9
Steven Fogarty,RW,62,12,30,42,-1,34,6,11,0,1,4,1,1,1,0,0,0,3,0,0,0.68,0.55,127,9.4
Oskar Steen,C,49,15,20,35,0,26,3,8,0,0,5,3,2,2,1,2,0,4,0,0,0.71,0.53,110,13.6
Jack Studnicka,C,41,10,25,35,-11,36,2,12,0,0,0,3,1,0,1,1,3,4,1,75,0.85,0.88,118,8.5
Jesper Froden,RW,49,16,18,34,-4,26,8,5,0,1,4,4,3,1,0,1,2,7,0,28.6,0.69,0.53,128,12.5
Zach Senyshyn,RW,51,19,12,31,8,14,5,1,1,0,5,2,2,0,0,1,1,3,0,33.3,0.61,0.27,125,15.2
Justin Brazeau,RW,51,15,16,31,9,6,4,2,0,0,1,4,2,0,1,0,2,7,1,28.6,0.61,0.12,86,17.4
Joona Koppanen,LW,62,11,19,30,21,20,3,0,2,0,2,2,2,0,1,1,0,2,0,0,0.48,0.32,69,15.9
Samuel Asselin,C,68,8,22,30,-9,66,2,7,0,0,0,1,1,0,0,1,1,2,1,50,0.44,0.97,125,6.4
Chris Wagner,C,62,15,12,27,-5,39,5,2,0,2,1,1,2,0,0,1,0,2,0,0,0.44,0.63,175,8.6
Eduards Tralmaks,F,51,14,13,27,22,30,0,2,0,0,4,3,1,0,0,0,0,1,0,0,0.53,0.59,58,24.1
Jack Ahcan,D,46,6,17,23,-2,10,3,9,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0.22,92,6.5
Aaron Ness,D,55,3,16,19,2,16,1,7,0,1,0,0,1,0,1,1,0,1,0,0,0.35,0.29,63,4.8
Victor Berglund,D,46,6,12,18,-5,30,5,4,0,0,2,0,1,0,0,0,0,0,0,0,0.39,0.65,73,8.2
Matt Filipe,LW,59,7,10,17,2,52,1,0,0,1,1,3,1,0,2,1,0,0,0,0,0.29,0.88,81,8.6
Jakub Lauko,LW,54,3,13,16,-28,56,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0.3,1.04,113,2.7
Kodie Curran,D,48,1,15,16,-1,35,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0.33,0.73,61,1.6
Brady Lyle,D,48,2,7,9,-7,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.19,0.21,63,3.2
Tyler Lewington,D,55,2,7,9,-3,66,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.16,1.2,75,2.7
Blake Hillman,D,30,0,9,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.27,36,0
Alex-Olivier Voyer,RW,41,3,5,8,-1,30,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0.2,0.73,48,6.3
Urho Vaakanainen,D,23,1,7,8,6,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0.35,0.87,32,3.1
Nick Wolff,D,32,0,8,8,7,83,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,2.59,47,0
John Moore,D,11,1,5,6,-6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.73,28,3.6
Johnny Beecher,F,9,3,2,5,-7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.56,0,20,15
Curtis Hall,C,52,2,3,5,-6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.08,54,3.7
Georgi Merkulov,F,8,1,4,5,-1,8,0,3,0,0,0,0,0,0,0,0,1,1,1,100,0.63,1,13,7.7
Josiah Didier,D,40,1,2,3,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1.38,43,2.3
Andrew Peski,D,9,1,1,2,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.22,0.22,4,25
Michael Callahan,D,15,1,1,2,-4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.13,0.13,16,6.3
J.D. Greenway,D,16,0,2,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1.06,13,0
Steven Jandric,F,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,100
Keltie Jeri-Leon,RW,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,33.3
Max Newton,F,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0
Ross Olsson,F,4,0,1,1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.5,2,0
Mathew Santos,RW,5,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,3,0
Liam Coughlin,F,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.33,3,0
Jack Dougherty,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
David Drake,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Lemos,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Zach Malatesta,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc McLaughlin,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Patrick Polino,RW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Grant Gabriele,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Jacob Wilson,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Brent Beaudoin,F,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Wyatt Ege,D,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,5,0
Matt Murphy,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Ian McKinnon,C,11,0,0,0,-2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
JJ Peterka,RW,70,28,40,68,-3,28,3,14,0,2,3,5,3,1,2,2,3,5,1,60,0.97,0.4,223,12.6
Jack Quinn,RW,45,26,35,61,-6,23,10,13,1,1,6,7,0,0,0,0,2,4,1,50,1.36,0.51,143,18.2
Michael Mersch,LW,65,26,28,54,-3,39,8,10,0,0,1,7,2,0,1,1,0,0,0,0,0.83,0.6,147,17.7
Arttu Ruotsalainen,C,57,18,33,51,-9,26,3,11,1,0,3,1,3,1,2,0,3,5,1,60,0.89,0.46,160,11.3
Ethan Prow,D,70,10,39,49,-5,6,2,12,0,0,3,0,1,2,0,0,0,0,0,0,0.7,0.09,104,9.6
Brandon Biro,LW,48,12,29,41,4,20,7,7,1,0,0,2,0,0,0,0,0,1,0,0,0.85,0.42,58,20.7
Sean Malone,C,39,20,17,37,-3,22,8,8,0,0,4,3,1,0,1,1,0,0,0,0,0.95,0.56,74,27
Linus Weissbach,LW,67,16,21,37,7,32,1,8,0,0,2,2,1,0,1,0,0,1,0,0,0.55,0.48,83,19.3
Oskari Laaksonen,D,71,5,29,34,-9,44,4,23,0,0,1,1,0,1,0,0,0,0,0,0,0.48,0.62,67,7.5
Brett Murray,LW,52,15,17,32,-4,35,6,5,0,0,2,1,0,0,0,0,0,0,0,0,0.62,0.67,87,17.2
Ryan MacInnis,C,49,11,16,27,-4,33,2,2,0,0,1,2,2,0,0,3,0,0,0,0,0.55,0.67,88,12.5
Mark Jankowski,C,32,10,17,27,2,18,4,3,1,0,2,2,1,1,2,1,0,2,0,0,0.84,0.56,72,13.9
Josh Teves,D,72,6,15,21,-8,44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.29,0.61,98,6.1
Peyton Krebs,LW,20,4,16,20,-11,16,3,7,0,0,2,0,0,1,0,0,1,1,1,100,1,0.8,29,13.8
Jimmy Schuldt,D,61,5,12,17,1,58,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0.28,0.95,82,6.1
Mattias Samuelsson,D,22,2,13,15,-11,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.68,0.73,48,4.2
Mason Jobst,C,26,4,9,13,-3,16,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.62,24,16.7
Casey Fitzgerald,D,28,4,8,12,-1,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.43,1.54,45,8.9
Ryan Scarfo,C,63,4,8,12,-22,37,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.19,0.59,47,8.5
Mitch Eliot,D,51,3,7,10,-5,54,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.2,1.06,83,3.6
Mark Alt,D,60,3,6,9,-17,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15,0.4,61,4.9
Brendan Warren,LW,51,4,2,6,-9,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.12,0.43,57,7
Matej Pekar,LW,47,3,3,6,-4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1.19,54,5.6
Brandon Davidson,D,23,1,5,6,-5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,1.65,28,3.6
Ben Holmstrom,C,25,0,6,6,1,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.24,0.76,22,0
Nick Boka,D,24,3,1,4,-4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,2.63,17,17.6
Peter Tischke,D,33,2,2,4,-3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.06,36,5.6
Lukas Rousek,RW,19,1,3,4,-5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.21,0.11,9,11.1
Dominic Franco,C,32,0,4,4,-6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.59,33,0
Nick Pastujov,C,10,2,1,3,-3,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3,0.6,14,14.3
Ara Nazarian,LW,14,2,1,3,-4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.21,0.14,8,25
Lukas Craggs,LW,24,2,1,3,-5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1.5,19,10.5
Patrick Polino,RW,16,2,0,2,-5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.25,9,22.2
Butrus Ghafari,D,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,2,0
David Drake,D,4,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,2,0
Jack Doremus,C,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,4,0
Wyatt Ege,D,6,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.67,8,0
Matthew Cairns,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Keeghan Howdeshell,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kohen Olischefski,RW,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Jacob Pritchard,LW,3,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1,0
Nate Knoepke,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lukas Reichel,LW,56,21,36,57,-5,6,5,17,0,0,6,3,3,1,1,0,1,6,1,16.7,1.02,0.11,102,20.6
Dylan McLaughlin,C,55,13,29,42,4,4,3,11,0,0,2,3,0,1,1,1,1,2,1,50,0.76,0.07,150,8.7
Brett Connolly,RW,37,17,18,35,12,16,6,4,0,1,0,4,0,0,0,0,0,2,0,0,0.95,0.43,96,17.7
Ian Mitchell,D,57,11,24,35,-2,19,6,6,0,3,3,1,1,0,0,0,2,5,2,40,0.61,0.33,90,12.2
Mike Hardman,F,43,19,13,32,8,8,8,4,1,0,2,0,1,0,1,1,0,1,0,0,0.74,0.19,104,18.3
Josiah Slavin,LW,49,18,14,32,18,17,0,1,3,1,4,3,2,0,2,3,0,0,0,0,0.65,0.35,81,22.2
Michal Teply,RW,60,13,18,31,-3,6,4,4,0,0,1,2,2,0,0,0,4,6,2,66.7,0.52,0.1,103,12.6
Andrei Altybarmakyan,RW,65,10,21,31,-2,70,2,4,0,0,1,3,1,0,0,1,1,2,1,50,0.48,1.08,103,9.7
Evan Barratt,C,63,14,14,28,-5,70,3,4,0,0,0,1,3,0,2,1,0,0,0,0,0.44,1.11,88,15.9
Wyatt Kalynuk,D,52,7,20,27,-3,55,3,8,0,0,0,1,1,0,1,0,0,0,0,0,0.52,1.06,77,9.1
D.J. Busdeker,RW,62,6,20,26,2,50,0,2,2,0,2,1,0,0,0,1,0,1,0,0,0.42,0.81,95,6.3
Alec Regula,D,41,4,22,26,6,37,0,11,0,0,2,0,0,0,1,0,0,0,0,0,0.63,0.9,78,5.1
Isaak Phillips,D,64,10,15,25,0,46,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0.39,0.72,94,10.6
Jakub Galvas,D,59,2,18,20,-1,14,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0.34,0.24,62,3.2
Ryan Stanton,D,56,3,15,18,8,42,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.32,0.75,78,3.8
Nicolas Beaudin,D,66,2,14,16,-4,68,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0.24,1.03,97,2.1
Garrett Mitchell,RW,67,6,9,15,-16,91,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0.22,1.36,69,8.7
Cam Morrison,LW,43,5,9,14,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.33,0.14,50,10
Carson Gicewicz,C,61,5,9,14,-6,63,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.23,1.03,81,6.2
Alex Nylander,RW,23,8,4,12,-10,2,2,3,0,0,3,1,1,0,0,1,1,2,0,50,0.52,0.09,51,15.7
Jakub Pour,RW,44,6,2,8,-4,20,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0.18,0.45,41,14.6
Kurtis Gabriel,F,52,4,2,6,-9,120,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.12,2.31,41,9.8
Dmitri Osipov,LW,45,3,2,5,-12,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11,1.84,29,10.3
Brandon Pirri,LW,3,3,1,4,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.33,0,10,30
Chad Yetman,RW,18,1,3,4,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.22,16,6.3
Cliff Watson,D,20,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,22,0
Philipp Kurashev,C,3,2,1,3,2,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,7,28.6
Kale Howarth,LW,12,2,1,3,-5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.92,11,18.2
Reese Johnson,RW,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,13,7.7
MacKenzie Entwistle,RW,2,0,1,1,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,4,0
Chad Krys,D,8,0,1,1,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.25,2,0
Chris Wilkie,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Lee,D,3,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,4,0
Jacob LeGuerrier,D,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Riley McKay,LW,4,0,0,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1,0
Michael Krutil,D,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lucas Elvenes,C,63,11,32,43,-5,20,3,15,0,0,1,2,0,0,1,0,0,1,0,0,0.68,0.32,66,16.7
Alex Limoges,LW,62,23,17,40,-9,13,12,8,1,0,4,3,4,0,0,1,0,1,0,0,0.65,0.21,100,23
Nikolas Brouillard,D,66,13,26,39,-6,131,2,8,1,1,0,3,1,0,0,1,0,1,0,0,0.59,1.98,122,10.7
Hunter Drew,RW,64,17,21,38,2,134,4,3,1,0,1,3,3,0,1,0,0,1,0,0,0.59,2.09,109,15.6
Jacob Perreault,RW,55,14,23,37,-6,62,6,7,0,0,3,3,0,0,1,1,2,4,1,50,0.67,1.13,130,10.8
Danny O'Regan,C,53,13,21,34,-20,20,8,10,1,0,1,4,1,0,0,1,0,3,0,0,0.64,0.38,84,15.5
Brayden Tracey,RW,55,11,20,31,-1,40,2,3,0,0,2,1,0,0,0,0,0,1,0,0,0.56,0.73,70,15.7
Trevor Carrick,D,61,10,20,30,-1,45,3,8,0,1,2,2,2,0,2,0,0,0,0,0,0.49,0.74,113,8.9
Bryce Kindopp,RW,67,12,17,29,-8,35,4,4,1,1,2,0,0,0,1,0,0,0,0,0,0.43,0.52,84,14.3
Brogan Rafferty,D,65,4,20,24,-1,36,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0.37,0.55,86,4.7
Brent Gates,F,45,12,11,23,2,19,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0.51,0.42,71,16.9
Benoit-Olivier Groulx,C,40,11,11,22,-6,39,2,2,0,0,1,3,3,0,3,1,0,1,0,0,0.55,0.98,78,14.1
Greg Printz,LW,66,11,11,22,-9,69,0,0,0,1,3,0,3,0,1,3,0,0,0,0,0.33,1.05,70,15.7
Vinni Lettieri,C,24,8,14,22,-2,8,2,8,1,1,0,2,1,0,0,0,0,0,0,0,0.92,0.33,79,10.1
Kodie Curran,D,37,1,15,16,-2,29,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0.43,0.78,41,2.4
Jacob Larsson,D,55,2,13,15,0,41,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.27,0.75,79,2.5
Greg Pateryn,D,35,2,10,12,-11,20,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0.34,0.57,39,5.1
Axel Andersson,D,35,4,6,10,2,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.29,0.43,38,10.5
Buddy Robinson,RW,28,4,5,9,-15,23,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0.32,0.82,47,8.5
Brendan Guhle,D,37,3,4,7,-6,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.19,0.76,57,5.3
Jack Badini,C,46,2,5,7,-6,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.46,36,5.6
John Moore,D,11,1,5,6,-6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.73,28,3.6
Josh Lopina,C,13,1,3,4,-1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.46,15,6.7
Maxim Golod,LW,18,1,3,4,-1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.33,14,7.1
Vincent Marleau,RW,37,1,3,4,-7,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.11,0.35,26,3.8
Nathan Larose,D,22,1,2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.27,20,5
Mason McTavish,C,3,1,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.67,1.33,7,14.3
Sean Josling,RW,15,1,1,2,-2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.8,9,11.1
Morgan Adams-Moisan,RW,28,1,1,2,-7,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.07,2.61,12,8.3
Drew Helleson,D,17,0,2,2,-14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.24,12,0
Sam Carrick,C,2,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7,1,100
Blake McLaughlin,LW,7,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,13,7.7
Sonny Milano,LW,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Alexander Volkov,RW,2,0,1,1,-2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,3,0
Mike McKee,D,9,0,1,1,-4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1,6,0
Simon Benoit,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Nijhoff,C,3,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0
Joachim Blichfeld,RW,61,24,21,45,-47,18,12,10,0,0,2,4,4,0,2,0,3,4,1,75,0.74,0.3,196,12.2
Jayden Halbgewachs,LW,59,17,24,41,-38,10,6,12,0,0,0,2,1,0,0,0,0,0,0,0,0.69,0.17,130,13.1
Alexander Chmelevski,C,47,12,25,37,-3,23,5,8,0,0,3,2,1,1,0,1,2,4,1,50,0.79,0.49,120,10
Nick Merkley,RW,43,11,25,36,-11,28,2,13,0,1,3,2,1,0,0,0,0,1,0,0,0.84,0.65,92,12
John Leonard,LW,45,17,15,32,-28,6,7,8,2,0,1,3,0,0,5,0,1,2,0,50,0.71,0.13,148,11.5
Artemi Knyazev,D,60,7,21,28,-47,55,3,14,0,1,0,0,1,0,1,1,0,0,0,0,0.47,0.92,126,5.6
Scott Reedy,RW,38,18,9,27,-26,4,10,4,1,0,1,1,2,0,0,0,0,2,0,0,0.71,0.11,64,28.1
Nick Cicek,D,53,5,20,25,-10,62,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0.47,1.17,72,6.9
